type,management,year,Area_km2
cmpa_Qoliqoli,NoTabu,1960,6575.13897
cmpa_Qoliqoli,WithTabu,1960,22549.06304
cmpa_Tabu,Tabu_other_management,1960,12.63116136
cmpa_Tabu,Tabu_other_management,1992,2.687764526
cmpa_Tabu,Tabu_other_management,1993,0
cmpa_Tabu,Tabu_other_management,1994,0
cmpa_Tabu,Tabu_other_management,1995,0
cmpa_Tabu,Tabu_other_management,1996,0
cmpa_Tabu,Tabu_other_management,1997,0
cmpa_Tabu,Tabu_other_management,1998,0
cmpa_Tabu,Tabu_other_management,1999,0
cmpa_Tabu,Tabu_other_management,2000,0
cmpa_Tabu,Tabu_other_management,2001,0
cmpa_Tabu,Tabu_other_management,2002,0
cmpa_Tabu,Tabu_other_management,2003,0
cmpa_Tabu,Tabu_other_management,2004,0
cmpa_Tabu,Tabu_other_management,2005,0
cmpa_Tabu,Tabu_other_management,2006,0
cmpa_Tabu,Tabu_other_management,2007,3.847090454
cmpa_Tabu,Tabu_other_management,2008,13.94576174
cmpa_Tabu,Tabu_other_management,2009,4.520929961
cmpa_Tabu,Tabu_other_management,2010,55.79541861
cmpa_Tabu,Tabu_other_management,2011,5.999431207
cmpa_Tabu,Tabu_other_management,2012,5.09123015
cmpa_Tabu,Tabu_permanent,1960,10.92137076
cmpa_Tabu,Tabu_permanent,1992,0
cmpa_Tabu,Tabu_permanent,1993,0
cmpa_Tabu,Tabu_permanent,1994,0
cmpa_Tabu,Tabu_permanent,1995,0
cmpa_Tabu,Tabu_permanent,1996,0
cmpa_Tabu,Tabu_permanent,1997,0
cmpa_Tabu,Tabu_permanent,1998,87.95270523
cmpa_Tabu,Tabu_permanent,1999,0
cmpa_Tabu,Tabu_permanent,2000,0.575606025
cmpa_Tabu,Tabu_permanent,2001,0
cmpa_Tabu,Tabu_permanent,2002,0
cmpa_Tabu,Tabu_permanent,2003,14.43677158
cmpa_Tabu,Tabu_permanent,2004,11.65826029
cmpa_Tabu,Tabu_permanent,2005,0
cmpa_Tabu,Tabu_permanent,2006,0
cmpa_Tabu,Tabu_permanent,2007,23.48346792
cmpa_Tabu,Tabu_permanent,2008,0
cmpa_Tabu,Tabu_permanent,2009,0
cmpa_Tabu,Tabu_permanent,2010,14.18559321
cmpa_Tabu,Tabu_permanent,2011,7.376718627
cmpa_Tabu,Tabu_permanent,2012,106.228775
cmpa_Tabu,Tabu_controlled_harvest,1960,67.48856714
cmpa_Tabu,Tabu_controlled_harvest,1992,0
cmpa_Tabu,Tabu_controlled_harvest,1993,0
cmpa_Tabu,Tabu_controlled_harvest,1994,0
cmpa_Tabu,Tabu_controlled_harvest,1995,0
cmpa_Tabu,Tabu_controlled_harvest,1996,0
cmpa_Tabu,Tabu_controlled_harvest,1997,3.189872271
cmpa_Tabu,Tabu_controlled_harvest,1998,0
cmpa_Tabu,Tabu_controlled_harvest,1999,0.765485685
cmpa_Tabu,Tabu_controlled_harvest,2000,0
cmpa_Tabu,Tabu_controlled_harvest,2001,4.392792581
cmpa_Tabu,Tabu_controlled_harvest,2002,21.42958065
cmpa_Tabu,Tabu_controlled_harvest,2003,33.10232551
cmpa_Tabu,Tabu_controlled_harvest,2004,113.8687224
cmpa_Tabu,Tabu_controlled_harvest,2005,21.99364177
cmpa_Tabu,Tabu_controlled_harvest,2006,8.105479037
cmpa_Tabu,Tabu_controlled_harvest,2007,26.37512946
cmpa_Tabu,Tabu_controlled_harvest,2008,2.400586738
